setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,SHORT,2024-02-20 11:55:00-05:00,4981.5,2024-02-20 15:55:00-05:00,4992.5,flatten,4996.12,4955.5,-11.0,-555.0
IB,LONG,2024-02-21 11:10:00-05:00,4986.5,2024-02-21 11:35:00-05:00,4978.88,stop,4978.88,4998.0,-7.62,-386.25
IB,SHORT,2024-02-21 14:20:00-05:00,4969.5,2024-02-21 15:35:00-05:00,4978.88,stop,4978.88,4958.0,-9.38,-473.75
IB,LONG,2024-02-22 11:15:00-05:00,5078.25,2024-02-22 14:10:00-05:00,5102.5,target,5064.5,5102.5,24.25,1207.5
IB,SHORT,2024-02-26 10:45:00-05:00,5096.5,2024-02-26 13:25:00-05:00,5086.5,target,5102.88,5086.5,10.0,495.0
IB,LONG,2024-02-28 10:35:00-05:00,5080.0,2024-02-28 12:40:00-05:00,5073.75,stop,5073.75,5090.25,-6.25,-317.5
IB,SHORT,2024-02-29 11:30:00-05:00,5084.0,2024-02-29 13:10:00-05:00,5095.0,stop,5095.0,5063.25,-11.0,-555.0
IB,LONG,2024-03-06 11:10:00-05:00,5124.25,2024-03-06 13:35:00-05:00,5110.0,stop,5110.0,5148.5,-14.25,-717.5
IB,LONG,2024-03-07 10:35:00-05:00,5154.5,2024-03-07 12:30:00-05:00,5143.38,stop,5143.38,5174.5,-11.12,-561.25
IB,SHORT,2024-03-07 13:00:00-05:00,62.8,2024-03-07 13:05:00-05:00,83.05,stop,83.05,42.8,-20.25,-1017.5
IB,SHORT,2024-03-07 14:30:00-05:00,62.95,2024-03-07 14:35:00-05:00,83.2,stop,83.2,42.95,-20.25,-1017.5
IB,SHORT,2024-03-13 11:30:00-04:00,63.5,2024-03-13 11:35:00-04:00,83.75,stop,83.75,49.25,-20.25,-1017.5
IB,LONG,2024-03-13 13:25:00-04:00,5244.75,2024-03-13 14:35:00-04:00,5236.0,stop,5236.0,5259.0,-8.75,-442.5
IB,LONG,2024-03-19 10:40:00-04:00,5207.0,2024-03-19 11:35:00-04:00,5217.5,target,5200.62,5217.5,10.5,520.0
IB,SHORT,2024-03-20 13:40:00-04:00,5234.5,2024-03-20 14:00:00-04:00,5241.38,stop,5241.38,5222.5,-6.88,-348.75
IB,LONG,2024-03-20 14:00:00-04:00,5258.0,2024-03-20 14:35:00-04:00,5241.38,stop,5241.38,5270.0,-16.62,-836.25
IB,LONG,2024-03-20 14:35:00-04:00,5259.25,2024-03-20 14:45:00-04:00,5271.25,target,5241.38,5271.25,12.0,595.0
IB,SHORT,2024-03-21 14:05:00-04:00,5306.5,2024-03-21 15:55:00-04:00,5302.75,flatten,5315.0,5293.75,3.75,182.5
IB,LONG,2024-03-25 14:35:00-04:00,5288.25,2024-03-25 15:20:00-04:00,5280.88,stop,5280.88,5301.25,-7.38,-373.75
IB,SHORT,2024-03-26 13:40:00-04:00,5285.0,2024-03-26 15:30:00-04:00,5275.25,target,5290.38,5275.25,9.75,482.5
IB,SHORT,2024-03-27 10:45:00-04:00,5272.0,2024-03-27 14:15:00-04:00,5283.38,stop,5283.38,5251.0,-11.38,-573.75
IB,LONG,2024-03-28 14:55:00-04:00,5316.75,2024-03-28 15:55:00-04:00,5310.0,stop,5310.0,5326.5,-6.75,-342.5
IB,SHORT,2024-04-01 10:35:00-04:00,5296.0,2024-04-01 15:55:00-04:00,5294.0,flatten,5309.38,5280.5,2.0,95.0
IB,SHORT,2024-04-04 11:10:00-04:00,5293.5,2024-04-04 11:45:00-04:00,5300.62,stop,5300.62,5281.0,-7.12,-361.25
IB,SHORT,2024-04-04 13:45:00-04:00,5293.5,2024-04-04 14:05:00-04:00,5281.0,target,5300.62,5281.0,12.5,620.0
IB,SHORT,2024-04-10 13:05:00-04:00,5185.25,2024-04-10 13:20:00-04:00,5203.62,stop,5203.62,5160.25,-18.38,-923.75
IB,SHORT,2024-04-10 13:35:00-04:00,5189.5,2024-04-10 13:55:00-04:00,5203.62,stop,5203.62,5164.5,-14.12,-711.25
IB,SHORT,2024-04-15 10:35:00-04:00,5176.25,2024-04-15 13:20:00-04:00,5142.5,target,5196.0,5142.5,33.75,1682.5
IB,SHORT,2024-04-16 10:35:00-04:00,5085.25,2024-04-16 11:15:00-04:00,5098.75,stop,5098.75,5062.0,-13.5,-680.0
IB,LONG,2024-04-16 14:05:00-04:00,5120.75,2024-04-16 14:15:00-04:00,5100.5,stop,5100.5,5144.0,-20.25,-1017.5
IB,LONG,2024-04-16 14:50:00-04:00,5111.25,2024-04-16 15:30:00-04:00,5098.75,stop,5098.75,5134.5,-12.5,-630.0
IB,SHORT,2024-04-17 10:50:00-04:00,5080.5,2024-04-17 12:40:00-04:00,5052.5,target,5100.75,5052.5,28.0,1395.0
IB,SHORT,2024-04-18 13:15:00-04:00,5049.5,2024-04-18 15:55:00-04:00,5048.25,flatten,5063.5,5024.25,1.25,57.5
IB,SHORT,2024-04-22 10:50:00-04:00,5012.5,2024-04-22 11:55:00-04:00,5024.12,stop,5024.12,4992.5,-11.62,-586.25
IB,SHORT,2024-04-24 10:35:00-04:00,5107.5,2024-04-24 11:15:00-04:00,5093.0,target,5117.38,5093.0,14.5,720.0
IB,LONG,2024-04-25 11:55:00-04:00,5050.25,2024-04-25 13:35:00-04:00,5072.75,target,5033.62,5072.75,22.5,1120.0
IB,SHORT,2024-04-29 14:35:00-04:00,5136.25,2024-04-29 15:05:00-04:00,5119.0,target,5145.5,5119.0,17.25,857.5
IB,SHORT,2024-04-30 11:00:00-04:00,5126.5,2024-04-30 11:10:00-04:00,5112.75,target,5134.25,5112.75,13.75,682.5
IB,SHORT,2024-05-01 13:10:00-04:00,5043.75,2024-05-01 13:30:00-04:00,5053.38,stop,5053.38,5026.25,-9.62,-486.25
IB,LONG,2024-05-01 14:00:00-04:00,5064.5,2024-05-01 14:10:00-04:00,5053.38,stop,5053.38,5082.0,-11.12,-561.25
IB,LONG,2024-05-01 14:25:00-04:00,5074.75,2024-05-01 14:30:00-04:00,5054.5,stop,5054.5,5092.25,-20.25,-1017.5
IB,LONG,2024-05-06 13:20:00-04:00,5187.75,2024-05-06 15:50:00-04:00,5200.5,target,5180.5,5200.5,12.75,632.5
IB,LONG,2024-05-07 10:50:00-04:00,5221.0,2024-05-07 13:45:00-04:00,5215.38,stop,5215.38,5230.75,-5.62,-286.25
IB,SHORT,2024-05-07 14:15:00-04:00,5208.75,2024-05-07 15:50:00-04:00,5215.38,stop,5215.38,5199.0,-6.62,-336.25
IB,LONG,2024-05-08 10:45:00-04:00,5215.75,2024-05-08 13:00:00-04:00,5201.25,stop,5201.25,5235.5,-14.5,-730.0
IB,LONG,2024-05-08 14:05:00-04:00,5212.0,2024-05-08 15:55:00-04:00,5211.75,flatten,5201.25,5231.75,-0.25,-17.5
IB,LONG,2024-05-09 10:35:00-04:00,5227.25,2024-05-09 15:55:00-04:00,5239.25,flatten,5212.88,5244.25,12.0,595.0
